date;Frequency ;CurrentA ;CurrentB;CurrentC;VoltageAB;VoltageBC;VoltageCA;Activepower;ApparentpowerVA;ActiveenergydeliveredWh;Humidity;Temperature
2-4-2021 0:30;60,02;14,8;30,85;22,48;231,18;229,64;230,28;8445,28;9031,37;2602;66,21;28,51
2-4-2021 0:45;60,02;15,61;31,05;23,66;231,11;229,61;230,39;8714,53;9323,31;2618;65,81;28,45
2-4-2021 1:00;59,95;15,34;32,58;27,35;229,4;228,11;228,65;9201,4;9906;2627;65,78;28,4
2-4-2021 1:15;60,02;37,66;34,13;50,21;229,88;228,54;228,97;14935,08;16133,91;2756;66,04;28,43
2-4-2021 1:30;59,97;15,41;30,87;26,88;229,59;228,03;228,57;8993,64;9630,52;2457;66,23;28,48
2-4-2021 1:45;59,97;15,62;32,62;26,45;229,71;228,33;229,01;9167,02;9843,84;2772;66,35;28,34
2-4-2021 2:00;60,01;36,59;30,92;48,43;230,78;229,48;229,89;14312,55;15396,86;2620;66,55;28,32
2-4-2021 2:15;59,96;15,4;34,06;23,2;230,23;228,56;229,29;8887,25;9589,62;2479;66,92;28,24
2-4-2021 2:30;60,02;15,59;29,52;22,37;230,9;229,45;230,17;8416,56;8942,73;2702;67,72;27,98
